City,dma,lat,long,Region1,group,sno
Anchorage,743,61.2180556,-149.9002778,AK,1,1
Fairbanks,745,64.8377778,-147.7163889,AK,1,2
Juneau,747,58.3019444,-134.4197222,AK,1,3
Birmingham,630,33.5206608,-86.80249,AL,2,4
Decatur,691,34.6059253,-86.9833417,AL,2,5
Dothan,606,31.2232313,-85.3904888,AL,2,6
Montgomery,698,32.3668052,-86.2999689,AL,2,7
El Dorado,628,33.210973,-92.665901,AR,3,8
Jonesboro,734,35.8422967,-90.704279,AR,3,9
Pine Bluff,693,34.2284312,-92.0031955,AR,3,10
Rogers,670,36.3320196,-94.1185366,AR,3,11
Phoenix,753,33.4483771,-112.0740373,AZ,4,12
Sierra Vista,789,31.5455001,-110.2772856,AZ,4,13
Bakersfield,800,35.3732921,-119.0187125,CA,5,14
El Centro,771,32.792,-115.5630514,CA,5,15
Eureka,802,40.8020712,-124.1636729,CA,5,16
Los Angeles,803,34.0522342,-118.2436849,CA,5,17
Modesto,862,37.6390972,-120.9968782,CA,5,18
Palm Springs,804,33.8302961,-116.5452921,CA,5,19
Redding,868,40.5865396,-122.3916754,CA,5,20
Salinas,828,36.6777372,-121.6555013,CA,5,21
San Diego,825,32.7153292,-117.1572551,CA,5,22
San Jose,807,37.3393857,-121.8949555,CA,5,23
San Luis Obispo,855,35.2827524,-120.6596156,CA,5,24
Visalia,866,36.3302284,-119.2920585,CA,5,25
Denver,751,39.7391536,-104.9847034,CO,6,26
Montrose,773,38.4783198,-107.8761738,CO,6,27
Pueblo,752,38.2544472,-104.6091409,CO,6,28
Hartford,533,41.7637111,-72.6850932,CT,7,29
Ft. Lauderdale,528,26.1223084,-80.1433786,FL,8,30
Ft. Pierce,548,27.4467056,-80.3256056,FL,8,31
Ft. Walton Beach,686,30.4057552,-86.618842,FL,8,32
Gainesville,592,29.6516344,-82.3248262,FL,8,33
Jacksonville,561,30.3321838,-81.655651,FL,8,34
Melbourne,534,28.0836269,-80.6081089,FL,8,35
Naples,571,26.1420358,-81.7948103,FL,8,36
Panama City,656,30.1588129,-85.6602058,FL,8,37
Sarasota,539,27.3364347,-82.5306527,FL,8,38
Albany,525,31.5785074,-84.155741,GA,9,39
Atlanta,524,33.7489954,-84.3879824,GA,9,40
Augusta,520,33.47,-81.975,GA,9,41
Columbus,522,32.4609764,-84.9877094,GA,9,42
Macon,503,32.8406946,-83.6324022,GA,9,43
Savannah,507,32.0835407,-81.0998342,GA,9,44
Thomasville,530,30.8365815,-83.9787808,GA,9,45
Honolulu,744,21.3069444,-157.8583333,HI,10,46
Ames,679,42.02335,-93.625622,IA,11,47
Iowa City,637,41.677204,-91.5162792,IA,11,48
Keokuk,717,40.402525,-91.394372,IA,11,49
Sioux City,624,42.4999942,-96.4003069,IA,11,50
Boise,757,43.613739,-116.237651,ID,12,51
Pocatello,758,42.8713032,-112.4455344,ID,12,52
Twin Falls,760,42.5629668,-114.4608711,ID,12,53
Bloomington,675,40.4842027,-88.9936873,IL,13,54
Champaign,648,39.8403147,-88.9548001,IL,13,55
Chicago,602,41.850033,-87.6500523,IL,13,56
Moline,682,41.5067003,-90.5151342,IL,13,57
Mount Vernon,632,38.3172714,-88.9031201,IL,13,58
Rockford,610,42.2711311,-89.0939952,IL,13,59
Elkhart,588,41.6819935,-85.9766671,IN,14,60
Evansville,649,37.9747644,-87.5558482,IN,14,61
Ft. Wayne,509,41.1306041,-85.1288597,IN,14,62
Indianapolis,527,39.7683765,-86.1580423,IN,14,63
Lafayette,582,40.4167022,-86.8752869,IN,14,64
Terre Haute,581,39.4667034,-87.4139092,IN,14,65
Hutchinson,678,38.0608445,-97.9297743,KS,15,66
Pittsburg,603,37.410884,-94.70496,KS,15,67
Topeka,605,39.0483336,-95.6780371,KS,15,68
Bowling Green,736,36.9903199,-86.4436018,KY,16,69
Lexington,541,38.0317136,-84.4951359,KY,16,70
Louisville,529,38.2542376,-85.759407,KY,16,71
Alexandria,644,31.3112936,-92.4451371,LA,17,72
Baton Rouge,716,30.4507462,-91.154551,LA,17,73
Lafayette,642,30.2240897,-92.0198427,LA,17,74
Lake Charles,643,30.2265949,-93.2173758,LA,17,75
New Orleans,622,29.9647222,-90.0705556,LA,17,76
Shreveport,612,32.5251516,-93.7501789,LA,17,77
Holyoke,543,42.2042586,-72.6162009,MA,18,78
New Bedford,521,41.6362152,-70.934205,MA,18,79
Baltimore,512,39.2903848,-76.6121893,MD,19,80
Hagerstown,511,39.6417629,-77.7199932,MD,19,81
Salisbury,576,38.3606736,-75.5993692,MD,19,82
Auburn,500,44.0978509,-70.2311655,ME,20,83
Bangor,537,44.8011821,-68.7778138,ME,20,84
Presque Isle,552,46.681153,-68.0158615,ME,20,85
Alpena,583,45.0616794,-83.4327528,MI,21,86
Battle Creek,563,42.3211522,-85.1797142,MI,21,87
Bay City,513,43.5944677,-83.8888647,MI,21,88
Cadillac,540,44.2519526,-85.4011619,MI,21,89
Detroit,505,42.331427,-83.0457538,MI,21,90
Lansing,551,42.732535,-84.5555347,MI,21,91
Marquette,553,46.5435442,-87.395417,MI,21,92
Austin,611,43.6666296,-92.9746367,MN,22,93
Mankato,737,44.1635775,-93.9993996,MN,22,94
St. Paul,613,44.944167,-93.086075,MN,22,95
Jefferson City,604,38.5767017,-92.1735164,MO,23,96
Kansas City,616,39.0997265,-94.5785667,MO,23,97
Kirksville,631,40.1947539,-92.5832496,MO,23,98
Springfield,619,37.215326,-93.2982436,MO,23,99
St. Joseph,638,39.7577778,-94.8363889,MO,23,100
St. Louis,609,38.646991,-90.224967,MO,23,101
Greenville,647,33.4101161,-91.0617735,MS,24,102
Gulfport,746,30.3674198,-89.0928155,MS,24,103
Jackson,718,32.2987573,-90.1848103,MS,24,104
Laurel,710,31.6940509,-89.1306124,MS,24,105
Meridian,711,32.3643098,-88.703656,MS,24,106
West Point,673,33.6076186,-88.6503254,MS,24,107
Billings,756,45.7832856,-108.5006904,MT,25,108
Bozeman,754,45.68346,-111.050499,MT,25,109
Glendive,798,47.108491,-104.710419,MT,25,110
Great Falls,755,47.5002354,-111.3008083,MT,25,111
Helena,766,46.595805,-112.027031,MT,25,112
Missoula,762,46.872146,-113.9939982,MT,25,113
Charlotte,517,35.2270869,-80.8431267,NC,26,114
Durham,560,35.9940329,-78.898619,NC,26,115
Washington,545,35.5465517,-77.0521742,NC,26,116
Wilmington,550,34.2257255,-77.9447102,NC,26,117
Winston Salem,518,36.0998596,-80.244216,NC,26,118
Dickinson,687,46.8791756,-102.7896242,ND,27,119
Valley City,724,46.9233129,-98.0031547,ND,27,120
Kearney,722,40.699959,-99.083107,NE,28,121
North Platte,740,41.1238873,-100.7654232,NE,28,122
Omaha,652,41.254006,-95.999258,NE,28,123
Scottsbluff,759,41.86714,-103.660709,NE,28,124
Manchester,506,42.9956397,-71.4547891,NH,29,125
Santa Fe,790,35.6869752,-105.937799,NM,30,126
Las Vegas,839,36.114646,-115.172816,NV,31,127
Reno,811,39.5296329,-119.8138027,NV,31,128
Binghamton,502,42.0986867,-75.9179738,NY,32,129
Buffalo,514,42.8864468,-78.8783689,NY,32,130
Elmira,565,42.0897965,-76.8077338,NY,32,131
New York,501,40.7142691,-74.0059729,NY,32,132
Plattsburgh,523,44.6994873,-73.4529124,NY,32,133
Rochester,538,43.1547845,-77.6155567,NY,32,134
Syracuse,555,43.0481221,-76.1474244,NY,32,135
Troy,532,42.7284117,-73.6917851,NY,32,136
Utica,526,43.100903,-75.232664,NY,32,137
Watertown,549,43.9747838,-75.9107565,NY,32,138
Akron,510,41.0814447,-81.5190053,OH,33,139
Cincinnati,515,39.1361111,-84.5030556,OH,33,140
Columbus,535,39.9611755,-82.9987942,OH,33,141
Dayton,542,39.7589478,-84.1916069,OH,33,142
Lima,558,40.742551,-84.1052256,OH,33,143
Steubenville,554,40.3697905,-80.6339638,OH,33,144
Toledo,547,41.6639383,-83.555212,OH,33,145
Youngstown,536,41.0997803,-80.6495194,OH,33,146
Zanesville,596,39.9403453,-82.0131924,OH,33,147
Ada,657,34.774531,-96.6783449,OK,34,148
Lawton,627,34.6086854,-98.3903305,OK,34,149
Oklahoma City,650,35.4675602,-97.5164276,OK,34,150
Tulsa,671,36.1539816,-95.992775,OK,34,151
Bend,821,44.0581728,-121.3153096,OR,35,152
Eugene,801,44.0520691,-123.0867536,OR,35,153
Klamath Falls,813,42.224867,-121.7816704,OR,35,154
Portland,820,45.5234515,-122.6762071,OR,35,155
Altoona,574,40.5186809,-78.3947359,PA,36,156
Erie,516,42.1292241,-80.085059,PA,36,157
Philadelphia,504,39.952335,-75.163789,PA,36,158
Pittsburgh,508,40.4406248,-79.9958864,PA,36,159
Scranton,577,41.408969,-75.6624122,PA,36,160
York,566,39.9625984,-76.727745,PA,36,161
Anderson,567,34.5034394,-82.6501332,SC,37,162
Charleston,519,32.7765656,-79.9309216,SC,37,163
Columbia,546,34.0007104,-81.0348144,SC,37,164
Myrtle Beach,570,33.6890603,-78.8866943,SC,37,165
Mitchell,725,43.7094283,-98.0297992,SD,38,166
Rapid City,764,44.0805434,-103.2310149,SD,38,167
Chattanooga,575,35.0456297,-85.3096801,TN,39,168
Jackson,639,35.6145169,-88.8139469,TN,39,169
Knoxville,557,35.9606384,-83.9207392,TN,39,170
Memphis,640,35.1495343,-90.0489801,TN,39,171
Nashville,659,36.1658899,-86.7844432,TN,39,172
Cities,531,36.472723,-82.4106862,TN-VA,40,173
Amarillo,634,35.2219971,-101.8312969,TX,41,174
Austin,635,30.267153,-97.7430608,TX,41,175
Bryan,625,30.6743643,-96.3699632,TX,41,176
Corpus Christi,600,27.8005828,-97.396381,TX,41,177
El Paso,765,31.7587198,-106.4869314,TX,41,178
Ft. Worth,623,32.725409,-97.3208496,TX,41,179
Houston,618,29.7628844,-95.3830615,TX,41,180
Laredo,749,27.506407,-99.5075421,TX,41,181
Longview,709,32.5007037,-94.7404891,TX,41,182
Lubbock,651,33.5778631,-101.8551665,TX,41,183
McAllen,636,26.2034071,-98.2300124,TX,41,184
Midland,633,31.9973456,-102.0779146,TX,41,185
Port Arthur,692,29.8849504,-93.939947,TX,41,186
San Angelo,661,31.4637723,-100.4370375,TX,41,187
San Antonio,641,29.4241219,-98.4936282,TX,41,188
Sweetwater,662,32.4709519,-100.4059384,TX,41,189
Victoria,626,28.8052674,-97.0035982,TX,41,190
Salt Lake City,770,40.7607793,-111.8910474,UT,42,191
Charlottesville,584,38.0293059,-78.4766781,VA,43,192
Harrisonburg,569,38.4495688,-78.8689155,VA,43,193
Lynchburg,573,37.4137536,-79.1422464,VA,43,194
Newport News,544,36.9787588,-76.428003,VA,43,195
Petersburg,556,37.2279279,-77.4019267,VA,43,196
Kennewick,810,46.2112458,-119.1372338,WA,44,197
Spokane,881,47.6587802,-117.4260466,WA,44,198
Tacoma,819,47.2528768,-122.4442906,WA,44,199
Appleton,658,44.2619309,-88.4153847,WI,45,200
Eau Claire,702,44.811349,-91.4984941,WI,45,201
Madison,669,43.0730517,-89.4012302,WI,45,202
Milwaukee,617,43.0389025,-87.9064736,WI,45,203
Rhinelander,705,45.6366228,-89.4120753,WI,45,204
Superior,676,46.7207737,-92.1040796,WI,45,205
Huntington,564,38.4192496,-82.445154,WV,46,206
Oak Hill,559,37.9723339,-81.1487135,WV,46,207
Parkersburg,597,39.2667418,-81.5615135,WV,46,208
Weston,598,39.0384274,-80.467313,WV,46,209
Riverton,767,43.0249592,-108.3801036,WY,47,210
